FID IID race
0 NA20813 EUR
0 NA20814 EUR
0 NA20815 EUR
0 NA20816 EUR
0 NA20818 EUR
0 NA20819 EUR
0 NA20826 EUR
0 NA20828 EUR
1328 NA06989 OWN
1349 NA11843 OWN
1328 NA06984 OWN
1418 NA12275 OWN
13291 NA06986 OWN
13292 NA07051 OWN
1421 NA12287 OWN
1353 NA12383 OWN
1330 NA12340 OWN
1418 NA12273 OWN
1377 NA11892 OWN
1423 NA11917 OWN
1358 NA12718 OWN
1421 NA12282 OWN
1421 NA12283 OWN
1456 NA12828 OWN
1330 NA12343 OWN
1451 NA12778 OWN
1424 NA11930 OWN
1463 NA12890 OWN
13291 NA07037 OWN
1456 NA12829 OWN
1423 NA11918 OWN
1377 NA11893 OWN
1423 NA11919 OWN
1353 NA12489 OWN
1354 NA12399 OWN
1355 NA12413 OWN
1458 NA12842 OWN
13281 NA12347 OWN
1345 NA07346 OWN
1451 NA12775 OWN
1444 NA12748 OWN
1346 NA12045 OWN
1350 NA11831 OWN
1340 NA07056 OWN
1408 NA12154 OWN
1349 NA11839 OWN
1459 NA12875 OWN
1346 NA12044 OWN
1362 NA11992 OWN
1350 NA11829 OWN
1334 NA12239 OWN
1447 NA12762 OWN
1358 NA12716 OWN
1420 NA12003 OWN
1340 NA07022 OWN
1341 NA07055 OWN
1344 NA12056 OWN
1334 NA12145 OWN
1420 NA12006 OWN
1345 NA07357 OWN
1340 NA07000 OWN
1447 NA12761 OWN
1362 NA11993 OWN
1463 NA12891 OWN
1444 NA12751 OWN
1459 NA12872 OWN
1408 NA12155 OWN
1341 NA06993 OWN
1416 NA12249 OWN
1344 NA12057 OWN
1347 NA11881 OWN
1362 NA11994 OWN
1454 NA12815 OWN
1346 NA12043 OWN
1375 NA12264 OWN
